movieId,genres,index
1,Adventure,0
1,Animation,1
1,Children,2
1,Comedy,3
1,Fantasy,4
2,Adventure,5
2,Children,6
2,Fantasy,7
3,Comedy,8
3,Romance,9
4,Comedy,10
4,Drama,11
4,Romance,12
5,Comedy,13
6,Action,14
6,Crime,15
6,Thriller,16
7,Comedy,17
7,Romance,18
8,Adventure,19
8,Children,20
9,Action,21
10,Action,22
10,Adventure,23
10,Thriller,24
11,Comedy,25
11,Drama,26
11,Romance,27
12,Comedy,28
12,Horror,29
13,Adventure,30
13,Animation,31
13,Children,32
14,Drama,33
15,Action,34
15,Adventure,35
15,Romance,36
16,Crime,37
16,Drama,38
17,Drama,39
17,Romance,40
18,Comedy,41
19,Comedy,42
20,Action,43
20,Comedy,44
20,Crime,45
20,Drama,46
20,Thriller,47
21,Comedy,48
21,Crime,49
21,Thriller,50
22,Crime,51
22,Drama,52
22,Horror,53
22,Mystery,54
22,Thriller,55
23,Action,56
23,Crime,57
23,Thriller,58
24,Drama,59
24,Sci-Fi,60
25,Drama,61
25,Romance,62
26,Drama,63
27,Children,64
27,Drama,65
28,Drama,66
28,Romance,67
29,Adventure,68
29,Drama,69
29,Fantasy,70
29,Mystery,71
29,Sci-Fi,72
30,Crime,73
30,Drama,74
31,Drama,75
32,Mystery,76
32,Sci-Fi,77
32,Thriller,78
34,Children,79
34,Drama,80
36,Crime,81
36,Drama,82
38,Children,83
38,Comedy,84
39,Comedy,85
39,Romance,86
40,Drama,87
41,Drama,88
41,War,89
42,Action,90
42,Crime,91
42,Drama,92
43,Drama,93
44,Action,94
44,Adventure,95
44,Fantasy,96
45,Comedy,97
45,Drama,98
45,Thriller,99
46,Drama,100
46,Romance,101
47,Mystery,102
47,Thriller,103
48,Animation,104
48,Children,105
48,Drama,106
48,Musical,107
48,Romance,108
49,Drama,109
49,Romance,110
50,Crime,111
50,Mystery,112
50,Thriller,113
52,Comedy,114
52,Drama,115
52,Romance,116
53,Adventure,117
53,Drama,118
54,Children,119
54,Comedy,120
55,Drama,121
57,Drama,122
58,Comedy,123
58,Drama,124
58,Romance,125
60,Adventure,126
60,Children,127
60,Fantasy,128
61,Drama,129
61,Thriller,130
62,Drama,131
63,Comedy,132
63,Crime,133
64,Comedy,134
64,Romance,135
65,Comedy,136
66,Action,137
66,Sci-Fi,138
66,Thriller,139
68,Comedy,140
68,Romance,141
69,Comedy,142
70,Action,143
70,Comedy,144
70,Horror,145
70,Thriller,146
71,Action,147
72,Comedy,148
72,Drama,149
73,Drama,150
73,War,151
74,Drama,152
74,Romance,153
75,Comedy,154
75,Drama,155
76,Action,156
76,Sci-Fi,157
76,Thriller,158
77,Documentary,159
78,Action,160
78,Crime,161
78,Drama,162
78,Thriller,163
79,Drama,164
79,Thriller,165
80,Children,166
80,Drama,167
81,Crime,168
81,Drama,169
81,Romance,170
82,Comedy,171
82,Drama,172
83,Drama,173
83,Romance,174
85,Drama,175
85,Romance,176
86,Action,177
86,Adventure,178
86,Drama,179
87,Children,180
87,Comedy,181
88,Comedy,182
89,Action,183
89,Thriller,184
92,Drama,185
92,Horror,186
92,Thriller,187
93,Comedy,188
93,Horror,189
93,Romance,190
94,Comedy,191
94,Drama,192
94,Romance,193
95,Action,194
95,Adventure,195
95,Thriller,196
96,Comedy,197
96,Drama,198
97,Crime,199
97,Drama,200
99,Documentary,201
100,Drama,202
100,Thriller,203
101,Adventure,204
101,Comedy,205
101,Crime,206
101,Romance,207
102,Comedy,208
103,Mystery,209
103,Sci-Fi,210
103,Thriller,211
104,Comedy,212
105,Drama,213
105,Romance,214
106,Comedy,215
106,Drama,216
107,Adventure,217
107,Children,218
107,Comedy,219
107,Musical,220
108,Documentary,221
110,Action,222
110,Drama,223
110,War,224
111,Crime,225
111,Drama,226
111,Thriller,227
112,Action,228
112,Adventure,229
112,Comedy,230
112,Crime,231
113,Drama,232
113,Mystery,233
116,Documentary,234
117,Crime,235
117,Drama,236
118,Comedy,237
118,Romance,238
119,Comedy,239
121,Drama,240
122,Comedy,241
122,Romance,242
123,Drama,243
123,Mystery,244
123,Romance,245
125,Comedy,246
126,Adventure,247
126,Children,248
126,Fantasy,249
128,Documentary,250
129,Comedy,251
129,Romance,252
132,Thriller,253
135,Comedy,254
137,Documentary,255
140,Drama,256
140,Romance,257
141,Comedy,258
144,Comedy,259
145,Action,260
145,Comedy,261
145,Crime,262
145,Drama,263
145,Thriller,264
146,Adventure,265
146,Children,266
147,Drama,267
148,Drama,268
149,Crime,269
149,Drama,270
149,Thriller,271
150,Adventure,272
150,Drama,273
150,IMAX,274
151,Action,275
151,Drama,276
151,Romance,277
151,War,278
152,Drama,279
152,Horror,280
153,Action,281
153,Adventure,282
153,Comedy,283
153,Crime,284
154,Drama,285
155,Adventure,286
155,Drama,287
155,War,288
156,Comedy,289
156,Drama,290
157,Comedy,291
157,War,292
158,Adventure,293
158,Children,294
159,Crime,295
159,Drama,296
159,Mystery,297
160,Action,298
160,Adventure,299
160,Mystery,300
160,Sci-Fi,301
161,Drama,302
161,Thriller,303
161,War,304
162,Documentary,305
163,Action,306
163,Romance,307
163,Western,308
164,Crime,309
164,Film-Noir,310
164,Mystery,311
164,Thriller,312
165,Action,313
165,Crime,314
165,Thriller,315
166,Comedy,316
166,Crime,317
166,Drama,318
168,Action,319
168,Drama,320
168,Romance,321
169,Adventure,322
169,Children,323
169,Drama,324
170,Action,325
170,Adventure,326
170,Crime,327
170,Thriller,328
171,Comedy,329
171,Drama,330
172,Action,331
172,Sci-Fi,332
172,Thriller,333
173,Action,334
173,Crime,335
173,Sci-Fi,336
174,Comedy,337
175,Drama,338
176,Comedy,339
177,Horror,340
178,Comedy,341
178,Drama,342
179,Drama,343
179,Romance,344
180,Comedy,345
180,Romance,346
181,Action,347
181,Children,348
183,Comedy,349
183,Horror,350
183,Thriller,351
184,Drama,352
185,Action,353
185,Crime,354
185,Thriller,355
186,Comedy,356
186,Romance,357
187,Comedy,358
188,Fantasy,359
188,Horror,360
188,Mystery,361
189,Comedy,362
189,Fantasy,363
190,Thriller,364
191,Drama,365
191,Romance,366
193,Drama,367
194,Comedy,368
194,Drama,369
195,Comedy,370
195,Drama,371
195,Romance,372
196,Horror,373
196,Sci-Fi,374
198,Action,375
198,Crime,376
198,Drama,377
198,Mystery,378
198,Sci-Fi,379
198,Thriller,380
199,Drama,381
199,Musical,382
199,Romance,383
201,Drama,384
201,Fantasy,385
202,Drama,386
202,Romance,387
203,Comedy,388
204,Action,389
205,Comedy,390
205,Drama,391
206,Documentary,392
207,Drama,393
207,Romance,394
208,Action,395
208,Adventure,396
208,Sci-Fi,397
209,Drama,398
210,Western,399
211,Drama,400
212,Adventure,401
212,Comedy,402
212,Crime,403
212,Mystery,404
213,Drama,405
214,Drama,406
214,War,407
215,Drama,408
215,Romance,409
216,Comedy,410
217,Drama,411
217,Thriller,412
218,Comedy,413
218,Drama,414
219,Drama,415
220,Horror,416
222,Drama,417
222,Romance,418
223,Comedy,419
224,Comedy,420
224,Drama,421
224,Romance,422
225,Drama,423
225,Thriller,424
227,Action,425
227,Thriller,426
228,Comedy,427
229,Drama,428
229,Thriller,429
230,Drama,430
230,Thriller,431
231,Adventure,432
231,Comedy,433
232,Comedy,434
232,Drama,435
232,Romance,436
233,Drama,437
234,Comedy,438
235,Comedy,439
235,Drama,440
236,Action,441
236,Comedy,442
236,Romance,443
237,Comedy,444
237,Romance,445
238,Adventure,446
238,Children,447
239,Animation,448
